No,Nama Kawasan,Lokasi,Luas Lahan (Ha),Kegiatan Utama,Nomor Kontak,Telepon,page
2,KEK Arun Lhokseumawe,Kota Lhokseumawe,2622.48,"Industri Energi
Industri Petrokimia
Industri Pengolahan Kelapa Sawit
Industri Pengolahan Kayu
Logistik",PT Patriot Nusantara AcehKasuma Indra (Direktur Utama)+62 811-6711-260,Gilang Arsika Ramadhangilang.ramadhan@kek.go.id+62 821-1944-3388,2
3,KEK Sei Mangkei,Kab. Simalungun,2002.70,"Industri Pengolahan Kelapa Sawit
Industri Pengolahan Karet
Logistik
Pariwisata",PT Perkebunan Nusantara IIIFadil(Manager Pemasaran KINRA)+62 811-6322-330 PT Kawasan Industri NusantaraAlwin Abdi(SEVP KINRA) +62 813-6124-4436,Elfi Haris +62 812-7060-006,2
4,KEK Tanjung Kelayang,Kab. Belitung,324.40,Pariwisata,PT Belitung Pantai Intan Daniel Alexander (Direktur) +62 813-7866-6688,Mey Penus +62 811-717-033,2
5,KEK Galang Batang,Kab. Bintan,2333.60,"Industri Pengolahan Bauksit
Logistik",PT GBKEK Industri Park Santony (Direktur Utama) +62 812-8798-8283 Riady Agustono (Manager Operasional) +62 812-7007-718,Vita Budhi Sulistyo +62 819-5112-266,2
6,KEK Nongsa,Kota Batam,166.45,"IT Digital
Pariwisata",PT Taman Resor Internet Raykall Permanah (Manager Keuangan) +62 856-6600-007,Irfan Syakir Widyasa +62 877-2807-0726,2
7,KEK Batam Aero Technic,Kota Batam,30.00,Industri MRO Pesawat,PT Batam Teknik Asido Sitorus (Human Resource and General Affair Manager) +62 811-9474-364,Irfan Syakir Widyasa +62 877-2807-0726,2
9,KEK Tanjung Sauh,Kota Batam,840.67,"produksi dan pengolahan
logistik dan distribusi
pengembangan energi","Ilyas N, Direktur Administrasi dan Umum (Telp. 089530286838)","Anton, Kepala Administrator (anton@kek.go.id, 087825694807)Rizali Nurcahya Nararya, Kasubag Perizinan Berusaha (rizali@kek.go.id, 08568445364)Novita Nugraningrum, Kasubag Pengawasan dan Pengendalian (novita@kek.go.id, 081314400134)",2
10,KEK Lido,Kab. Bogor,1040.00,"Pariwisata
Industri Kreatif",PT MNC Land Lido Lia (Assisten Manager) +62 813-1934-4777 Dhana +62 852-1854-2025,GUSMIADIRRAHMAN +62 812-4100-2173,2
1,KEK Arun Lhokseumawe,Kab. Aceh Utara,2622.48,"Industri Energi
Industri Petrokimia
Industri Pengolahan Kelapa Sawit
Industri Pengolahan Kayu
Logistik",PT Patriot Nusantara AcehKasuma Indra(Direktur Utama)+62 811-6711-260,Gilang Arsika Ramadhangilang.ramadhan@kek.go.id+62 821-1944-3388,3
2,KEK Arun Lhokseumawe,Kota Lhokseumawe,2622.48,"Industri Energi
Industri Petrokimia
Industri Pengolahan Kelapa Sawit
Industri Pengolahan Kayu
Logistik",PT Patriot Nusantara AcehKasuma Indra (Direktur Utama)+62 811-6711-260,Gilang Arsika Ramadhangilang.ramadhan@kek.go.id+62 821-1944-3388,3
3,KEK Sei Mangkei,Kab. Simalungun,2002.70,"Industri Pengolahan Kelapa Sawit
Industri Pengolahan Karet
Logistik
Pariwisata",PT Perkebunan Nusantara IIIFadil(Manager Pemasaran KINRA)+62 811-6322-330 PT Kawasan Industri NusantaraAlwin Abdi(SEVP KINRA) +62 813-6124-4436,Elfi Haris +62 812-7060-006,3
4,KEK Tanjung Kelayang,Kab. Belitung,324.40,Pariwisata,PT Belitung Pantai Intan Daniel Alexander (Direktur) +62 813-7866-6688,Mey Penus +62 811-717-033,3
5,KEK Galang Batang,Kab. Bintan,2333.60,"Industri Pengolahan Bauksit
Logistik",PT GBKEK Industri Park Santony (Direktur Utama) +62 812-8798-8283 Riady Agustono (Manager Operasional) +62 812-7007-718,Vita Budhi Sulistyo +62 819-5112-266,3
6,KEK Nongsa,Kota Batam,166.45,"IT Digital
Pariwisata",PT Taman Resor Internet Raykall Permanah (Manager Keuangan) +62 856-6600-007,Irfan Syakir Widyasa +62 877-2807-0726,3
7,KEK Batam Aero Technic,Kota Batam,30.00,Industri MRO Pesawat,PT Batam Teknik Asido Sitorus (Human Resource and General Affair Manager) +62 811-9474-364,Irfan Syakir Widyasa +62 877-2807-0726,3
9,KEK Tanjung Sauh,Kota Batam,840.67,"produksi dan pengolahan
logistik dan distribusi
pengembangan energi","Ilyas N, Direktur Administrasi dan Umum (Telp. 089530286838)","Anton, Kepala Administrator (anton@kek.go.id, 087825694807)Rizali Nurcahya Nararya, Kasubag Perizinan Berusaha (rizali@kek.go.id, 08568445364)Novita Nugraningrum, Kasubag Pengawasan dan Pengendalian (novita@kek.go.id, 081314400134)",3
10,KEK Lido,Kab. Bogor,1040.00,"Pariwisata
Industri Kreatif",PT MNC Land Lido Lia (Assisten Manager) +62 813-1934-4777 Dhana +62 852-1854-2025,GUSMIADIRRAHMAN +62 812-4100-2173,3
